,prolific_id,tag,condition_num,background,commentator,outcome,model_descr_variant,sport,question1,question2,question3,question4,question5,question6,question7,question8,slider_val1,slider_val2,slider_val3,slider_val4,slider_val5,slider_val6,slider_val7,slider_val8
46,611830fe665c7b68723910b3,canoe-race_effort_team-round-robin-20,4.0,"In this event, the athletes are competing in a series of canoe races.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Kay and Peyton lost to Ollie and Taylor.<br>
In the second match, Kay and Ollie lost to Peyton and Taylor.<br>
In the third match, Kay and Taylor lost to Peyton and Ollie.<br>",implicit,canoe-race,"[""How likely is it that Kay is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Peyton is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Ollie is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Kay tried hard in the second match?"",""latent-1""]","[""How likely is it that Peyton tried hard in the first match?"",""latent-2""]","[""How likely is it that Ollie tried hard in the first match?"",""latent-3""]","[""In a new match, how likely is it that Kay and Peyton will beat Ollie and Indiana?"",""new-1""]","[""In a new match, how likely is it that Kay and Ollie will beat Peyton and Indiana?"",""new-2""]",1.0,35.0,86.0,15.0,62.0,83.0,1.0,1.0
49,611830fe665c7b68723910b3,canoe-race_effort_team-confounded-partner-10,4.0,"In this event, the athletes are competing in a series of canoe races.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Robin and Quinn lost to Willow and Taylor.<br>
In the second match, Robin and Quinn lost to Indiana and Sam.<br>
In the third match, Robin and Quinn lost to Blake and Kay.<br>",implicit,canoe-race,"[""How likely is it that Robin is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Quinn is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Indiana is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Robin tried hard in the first match?"",""latent-1""]","[""How likely is it that Quinn tried hard in the second match?"",""latent-2""]","[""How likely is it that Indiana tried hard in the second match?"",""latent-3""]","[""In a new match, how likely is it that Robin and Quinn will beat Willow and Kay?"",""new-1""]","[""In a new match, how likely is it that Robin and Willow will beat Quinn and Taylor?"",""new-2""]",12.0,13.0,74.0,25.0,25.0,76.0,1.0,25.0
59,6686a36c932848b6f724d5b6,tug-of-war_effort_individ-explain-away-bonus,11.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Gale beat Sam.<br>
In the second match, Gale lost to Sam.<br>
In the third match, Sam lost to Blake.<br>
In the fourth match, Sam lost to Quinn.<br>
In the fifth match, Gale beat Taylor.<br>
In the sixth match, Gale beat Willow.<br>",implicit,tug-of-war,"[""How likely is it that Gale is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Sam is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Blake is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Gale tried hard in the second match?"",""latent-1""]","[""How likely is it that Sam tried hard in the first match?"",""latent-2""]","[""How likely is it that Blake tried hard in the third match?"",""latent-3""]","[""In a new match, how likely is it that Gale will beat Sam ?"",""new-1""]","[""In a new match, how likely is it that Gale will beat Blake?"",""new-2""]",27.0,13.0,38.0,73.0,74.0,72.0,74.0,80.0
62,6686a36c932848b6f724d5b6,tug-of-war_effort_team-weak-indirect-15,11.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Blake and Fey beat Taylor and Max.<br>
In the second match, Fey and Casey beat Taylor and Max.<br>
In the third match, Fey and Willow beat Taylor and Max.<br>",implicit,tug-of-war,"[""How likely is it that Blake is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Fey is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Taylor is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Blake tried hard in the first match?"",""latent-1""]","[""How likely is it that Fey tried hard in the second match?"",""latent-2""]","[""How likely is it that Taylor tried hard in the second match?"",""latent-3""]","[""In a new match, how likely is it that Blake and Fey will beat Casey and Taylor?"",""new-1""]","[""In a new match, how likely is it that Blake and Taylor will beat Fey and Max?"",""new-2""]",86.0,95.0,12.0,55.0,85.0,65.0,78.0,55.0
65,6686a36c932848b6f724d5b6,tug-of-war_effort_team-diverse-17,11.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Ness and Indiana beat Max and Willow.<br>
In the second match, Ness and Robin beat Lane and Gale.<br>
In the third match, Ness and Val beat Kay and PZ.<br>",implicit,tug-of-war,"[""How likely is it that Ness is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Indiana is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Max is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""How likely is it that Ness tried hard in the second match?"",""latent-1""]","[""How likely is it that Indiana tried hard in the first match?"",""latent-2""]","[""How likely is it that Max tried hard in the first match?"",""latent-3""]","[""In a new match, how likely is it that Ness and Indiana will beat Max and Gale?"",""new-1""]","[""In a new match, how likely is it that Ness and Max will beat Indiana and Willow?"",""new-2""]",100.0,30.0,19.0,86.0,66.0,74.0,64.0,74.0
69,6686a36c932848b6f724d5b6,diving_effort_team-round-robin-20,11.0,"In this event, teams of players are competing in rounds of a synchronized diving tournament.
Teams compete in synchronized diving. Each team member jumps at the same time.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Ollie and Willow lost to Blake and Fey.<br>
In the second match, Ollie and Blake lost to Willow and Fey.<br>
In the third match, Ollie and Fey lost to Willow and Blake.<br>",implicit,diving,"[""How likely is it that Ollie is intrinsically more skilled than a random typical competitor?"",""skill-1""]","[""How likely is it that Willow is intrinsically more skilled than a random typical competitor?"",""skill-2""]","[""How likely is it that Blake is intrinsically more skilled than a random typical competitor?"",""skill-3""]","[""How likely is it that Ollie tried hard in the second match?"",""latent-1""]","[""How likely is it that Willow tried hard in the first match?"",""latent-2""]","[""How likely is it that Blake tried hard in the first match?"",""latent-3""]","[""In a new match, how likely is it that Ollie and Willow will beat Blake and Sam?"",""new-1""]","[""In a new match, how likely is it that Ollie and Blake will beat Willow and Sam?"",""new-2""]",7.0,75.0,77.0,52.0,53.0,66.0,4.0,7.0
72,6686a36c932848b6f724d5b6,diving_effort_individ-strong-indirect-4,11.0,"In this event, teams of players are competing in rounds of a synchronized diving tournament.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Jamie lost to Max.<br>
In the second match, Max lost to Fey.<br>
In the third match, Max lost to Indiana.<br>",implicit,diving,"[""How likely is it that Jamie is intrinsically more skilled than a random typical competitor?"",""skill-1""]","[""How likely is it that Max is intrinsically more skilled than a random typical competitor?"",""skill-2""]","[""How likely is it that Fey is intrinsically more skilled than a random typical competitor?"",""skill-3""]","[""How likely is it that Jamie tried hard in the first match?"",""latent-1""]","[""How likely is it that Max tried hard in the second match?"",""latent-2""]","[""How likely is it that Fey tried hard in the second match?"",""latent-3""]","[""In a new match, how likely is it that Jamie will beat Fey?"",""new-1""]","[""In a new match, how likely is it that Jamie will beat Indiana?"",""new-2""]",23.0,29.0,71.0,66.0,69.0,79.0,10.0,34.0
75,6686a36c932848b6f724d5b6,diving_effort_team-confounded-partner-10,11.0,"In this event, teams of players are competing in rounds of a synchronized diving tournament.
Teams compete in synchronized diving. Each team member jumps at the same time.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Max and Indiana lost to Peyton and Emery.<br>
In the second match, Max and Indiana lost to Drew and Robin.<br>
In the third match, Max and Indiana lost to Harper and Val.<br>",implicit,diving,"[""How likely is it that Max is intrinsically more skilled than a random typical competitor?"",""skill-1""]","[""How likely is it that Indiana is intrinsically more skilled than a random typical competitor?"",""skill-2""]","[""How likely is it that Drew is intrinsically more skilled than a random typical competitor?"",""skill-3""]","[""How likely is it that Max tried hard in the first match?"",""latent-1""]","[""How likely is it that Indiana tried hard in the second match?"",""latent-2""]","[""How likely is it that Drew tried hard in the second match?"",""latent-3""]","[""In a new match, how likely is it that Max and Indiana will beat Peyton and Val?"",""new-1""]","[""In a new match, how likely is it that Max and Peyton will beat Indiana and Emery?"",""new-2""]",13.0,15.0,36.0,69.0,70.0,77.0,23.0,31.0
85,665e750c97f12272bd9ab99e,tug-of-war_effort_team-diverse-17,10.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Ness and Indiana beat Max and Willow.<br>
In the second match, Ness and Robin beat Lane and Gale.<br>
In the third match, Ness and Val beat Kay and PZ.<br>",explicit,tug-of-war,"[""How likely is it that Ness tried hard in the second match?"",""latent-1""]","[""How likely is it that Indiana tried hard in the first match?"",""latent-2""]","[""How likely is it that Max tried hard in the first match?"",""latent-3""]","[""How likely is it that Ness is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Indiana is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Max is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Ness and Indiana will beat Max and Gale?"",""new-1""]","[""In a new match, how likely is it that Ness and Max will beat Indiana and Willow?"",""new-2""]",77.0,78.0,78.0,100.0,50.0,50.0,87.0,87.0
88,665e750c97f12272bd9ab99e,tug-of-war_effort_individ-explain-away-bonus,10.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Gale beat Sam.<br>
In the second match, Gale lost to Sam.<br>
In the third match, Sam lost to Blake.<br>
In the fourth match, Sam lost to Quinn.<br>
In the fifth match, Gale beat Taylor.<br>
In the sixth match, Gale beat Willow.<br>",explicit,tug-of-war,"[""How likely is it that Gale tried hard in the second match?"",""latent-1""]","[""How likely is it that Sam tried hard in the first match?"",""latent-2""]","[""How likely is it that Blake tried hard in the third match?"",""latent-3""]","[""How likely is it that Gale is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Sam is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Blake is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Gale will beat Sam ?"",""new-1""]","[""In a new match, how likely is it that Gale will beat Blake?"",""new-2""]",5.0,54.0,59.0,95.0,42.0,50.0,57.0,54.0
91,665e750c97f12272bd9ab99e,tug-of-war_effort_team-weak-indirect-15,10.0,"In this event, the athletes are competing in matches of tug-of-war.
Athletes compete either individually or as a team.
All matches take place on the same day.

Intrinsic strength varies widely from athlete to athlete.
Athletes also vary in how often they try their hardest in any given match.
If an athlete doesn’t try hard in any given match, that athlete only pulls with half of their intrinsic strength in that match.
Each team pulls as hard as the total effective strength of all of its athletes in that match.
The team that pulls the hardest will win a given match.",,"In the first match, Blake and Fey beat Taylor and Max.<br>
In the second match, Fey and Casey beat Taylor and Max.<br>
In the third match, Fey and Willow beat Taylor and Max.<br>",explicit,tug-of-war,"[""How likely is it that Blake tried hard in the first match?"",""latent-1""]","[""How likely is it that Fey tried hard in the second match?"",""latent-2""]","[""How likely is it that Taylor tried hard in the second match?"",""latent-3""]","[""How likely is it that Blake is intrinsically stronger than a random typical competitor?"",""skill-1""]","[""How likely is it that Fey is intrinsically stronger than a random typical competitor?"",""skill-2""]","[""How likely is it that Taylor is intrinsically stronger than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Blake and Fey will beat Casey and Taylor?"",""new-1""]","[""In a new match, how likely is it that Blake and Taylor will beat Fey and Max?"",""new-2""]",5.0,60.0,59.0,40.0,77.0,41.0,78.0,36.0
95,665e750c97f12272bd9ab99e,diving_effort_team-confounded-partner-10,10.0,"In this event, teams of players are competing in rounds of a synchronized diving tournament.
Teams compete in synchronized diving. Each team member jumps at the same time.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Max and Indiana lost to Peyton and Emery.<br>
In the second match, Max and Indiana lost to Drew and Robin.<br>
In the third match, Max and Indiana lost to Harper and Val.<br>",implicit,diving,"[""How likely is it that Max tried hard in the first match?"",""latent-1""]","[""How likely is it that Indiana tried hard in the second match?"",""latent-2""]","[""How likely is it that Drew tried hard in the second match?"",""latent-3""]","[""How likely is it that Max is intrinsically more skilled than a random typical competitor?"",""skill-1""]","[""How likely is it that Indiana is intrinsically more skilled than a random typical competitor?"",""skill-2""]","[""How likely is it that Drew is intrinsically more skilled than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Max and Indiana will beat Peyton and Val?"",""new-1""]","[""In a new match, how likely is it that Max and Peyton will beat Indiana and Emery?"",""new-2""]",42.0,43.0,60.0,25.0,25.0,41.0,26.0,36.0
98,665e750c97f12272bd9ab99e,diving_effort_individ-strong-indirect-4,10.0,"In this event, teams of players are competing in rounds of a synchronized diving tournament.
Athletes compete either individually or as a team.
All matches take place on the same day.",,"In the first match, Jamie lost to Max.<br>
In the second match, Max lost to Fey.<br>
In the third match, Max lost to Indiana.<br>",implicit,diving,"[""How likely is it that Jamie tried hard in the first match?"",""latent-1""]","[""How likely is it that Max tried hard in the second match?"",""latent-2""]","[""How likely is it that Fey tried hard in the second match?"",""latent-3""]","[""How likely is it that Jamie is intrinsically more skilled than a random typical competitor?"",""skill-1""]","[""How likely is it that Max is intrinsically more skilled than a random typical competitor?"",""skill-2""]","[""How likely is it that Fey is intrinsically more skilled than a random typical competitor?"",""skill-3""]","[""In a new match, how likely is it that Jamie will beat Fey?"",""new-1""]","[""In a new match, how likely is it that Jamie will beat Indiana?"",""new-2""]",42.0,40.0,77.0,25.0,26.0,41.0,26.0,19.0
